Temps       ;Deformation ;
 7.6480E-002; 6.6318E-002;
 7.6640E-002; 6.6458E-002;
 7.6800E-002; 6.6598E-002;
 7.6960E-002; 6.6737E-002;
 7.7120E-002; 6.6877E-002;
 7.7280E-002; 6.7017E-002;
 7.7440E-002; 6.7157E-002;
 7.7600E-002; 6.7296E-002;
 7.7760E-002; 6.7436E-002;
 7.7920E-002; 6.7576E-002;
 7.8080E-002; 6.7716E-002;
 7.8240E-002; 6.7855E-002;
 7.8400E-002; 6.7995E-002;
 7.8560E-002; 6.8135E-002;
 7.8720E-002; 6.8275E-002;
 7.8880E-002; 6.8415E-002;
 7.9040E-002; 6.8554E-002;
 7.9200E-002; 6.8694E-002;
 7.9360E-002; 6.8834E-002;
 7.9520E-002; 6.8974E-002;
 7.9680E-002; 6.9113E-002;
 7.9840E-002; 6.9253E-002;
 8.0000E-002; 6.9393E-002;
